Valence: 2.3832 | Arousal: 1.556058
Valence: 1.624216 | Arousal: 1.176243
Valence: 1.921543 | Arousal: 1.293729
Valence: 2.311003 | Arousal: 1.476838
Valence: 1.775612 | Arousal: 1.268308
Valence: 2.215556 | Arousal: 1.415847
Valence: 2.013683 | Arousal: 1.318142
Valence: 2.253742 | Arousal: 1.520619
Valence: 1.228021 | Arousal: 0.9959261
Valence: 1.871503 | Arousal: 1.298405
Valence: 3.061215 | Arousal: 1.93004
Valence: 3.164777 | Arousal: 2.014003
Valence: 2.57828 | Arousal: 1.673037
Valence: 1.773976 | Arousal: 1.238959
Valence: 1.286759 | Arousal: 1.012719
Valence: 3.577604 | Arousal: 2.150366
Valence: 1.603351 | Arousal: 1.090669
Valence: 2.694517 | Arousal: 1.668842
Valence: 2.940115 | Arousal: 1.883242
Valence: 2.941182 | Arousal: 1.893684
Valence: 1.219018 | Arousal: 0.9993075
Valence: 1.971685 | Arousal: 1.326689
Valence: 2.22328 | Arousal: 1.485748
Valence: 4.655031 | Arousal: 4.547204
Valence: 4.655109 | Arousal: 4.547695
Valence: 6.23949 | Arousal: 6.529536
Valence: 4.58287 | Arousal: 4.883291
Valence: 4.917131 | Arousal: 5.252148
Valence: 4.401272 | Arousal: 4.64881
Valence: 4.646992 | Arousal: 4.940245
Valence: 4.655053 | Arousal: 4.547545
Valence: 4.616519 | Arousal: 4.556612
Valence: 4.63923 | Arousal: 4.555169
Valence: 4.637319 | Arousal: 4.55679
Valence: 4.624547 | Arousal: 4.541392
Valence: 4.643878 | Arousal: 4.554631
Valence: 4.650371 | Arousal: 4.552233
Valence: 4.559056 | Arousal: 4.507133
Valence: 4.58689 | Arousal: 4.524785
Valence: 4.549811 | Arousal: 4.502573
Valence: 4.594633 | Arousal: 4.528598
Valence: 4.62539 | Arousal: 4.543932
Valence: 4.629496 | Arousal: 4.550639
Valence: 4.651752 | Arousal: 4.551494
Valence: 4.648875 | Arousal: 4.557015
Valence: 4.647581 | Arousal: 4.553547
Valence: 4.652592 | Arousal: 4.546216
Valence: 4.655527 | Arousal: 4.546883
Valence: 4.639369 | Arousal: 4.552739
Valence: 4.625862 | Arousal: 4.555689
Valence: 4.617167 | Arousal: 4.557634
Valence: 4.570274 | Arousal: 4.576822
Valence: 4.655477 | Arousal: 4.546934
Valence: 4.655335 | Arousal: 4.547225
Valence: 4.655375 | Arousal: 4.547323
Valence: 4.655316 | Arousal: 4.547149
Valence: 4.58146 | Arousal: 4.627568
Valence: 4.65543 | Arousal: 4.546837
Valence: 4.635262 | Arousal: 4.545107
Valence: 4.561953 | Arousal: 4.533262
Valence: 4.478456 | Arousal: 4.464509
Valence: 4.62691 | Arousal: 4.545121
Valence: 4.640311 | Arousal: 4.552439
Valence: 4.557273 | Arousal: 4.514322
Valence: 4.64841 | Arousal: 4.55325
Valence: 4.635923 | Arousal: 4.550235
Valence: 4.556817 | Arousal: 4.510491
Valence: 4.603063 | Arousal: 4.533937
Valence: 4.531449 | Arousal: 4.493309
Valence: 4.655445 | Arousal: 4.546963
Valence: 4.63671 | Arousal: 4.554479
Valence: 4.653463 | Arousal: 4.557703
Valence: 4.654213 | Arousal: 4.550982
Valence: 4.633208 | Arousal: 4.54986
Valence: 4.625794 | Arousal: 4.541173
Valence: 4.631677 | Arousal: 4.548207
Valence: 4.638943 | Arousal: 4.551044
Valence: 4.64224 | Arousal: 4.554145
Valence: 4.599807 | Arousal: 4.531694
Valence: 4.655481 | Arousal: 4.546804
Valence: 4.648307 | Arousal: 4.55216
Valence: 4.603858 | Arousal: 4.533171
Valence: 4.639372 | Arousal: 4.545704
Valence: 4.581088 | Arousal: 4.526412
Valence: 4.649024 | Arousal: 4.550657
Valence: 4.646107 | Arousal: 4.554298
Valence: 4.647286 | Arousal: 4.550818
Valence: 4.651993 | Arousal: 4.550586
Valence: 4.647895 | Arousal: 4.54932
Valence: 0.9990931 | Arousal: 1.431263
Valence: 0.999198 | Arousal: 1.433846
Valence: 0.9991899 | Arousal: 1.435333
Valence: 0.9991912 | Arousal: 1.43424
Valence: 0.4569119 | Arousal: 0.4434728
Valence: 0.4566328 | Arousal: 0.4436915
Valence: 0.4566593 | Arousal: 0.4437549
Valence: 0.4568174 | Arousal: 0.4435771
Valence: 0.4256325 | Arousal: 0.4283014
Valence: 0.4561 | Arousal: 0.4435757
Valence: 0.4515679 | Arousal: 0.4425484
Valence: 0.4565942 | Arousal: 0.4449722
Valence: 0.4565759 | Arousal: 0.4439463
Valence: 0.4559131 | Arousal: 0.4443361
Valence: 0.4508168 | Arousal: 0.4431347
Valence: 0.4556777 | Arousal: 0.4440666
Valence: 0.4542416 | Arousal: 0.4442446
Valence: 0.4539074 | Arousal: 0.4434547
Valence: 0.4553512 | Arousal: 0.443987
Valence: 0.4483241 | Arousal: 0.4396904
Valence: 0.4567798 | Arousal: 0.4436399
Valence: 0.4569342 | Arousal: 0.4433471
Valence: 0.4569368 | Arousal: 0.4433419
Valence: 0.4569383 | Arousal: 0.4433427
Valence: 0.4569372 | Arousal: 0.4433422
Valence: 0.4569373 | Arousal: 0.4433433
Valence: 0.4569371 | Arousal: 0.4433432
Valence: 0.4569373 | Arousal: 0.4433445
Valence: 0.9603969 | Arousal: 0.8946831
Valence: 0.9801422 | Arousal: 0.9016985
Valence: 0.9645077 | Arousal: 0.8963241
Valence: 4.655471 | Arousal: 4.546822
Valence: 4.653848 | Arousal: 4.549078
Valence: 4.654585 | Arousal: 4.54773
Valence: 4.655265 | Arousal: 4.547313
Valence: 4.650103 | Arousal: 4.55241
Valence: 4.653998 | Arousal: 4.548599
Valence: 4.652764 | Arousal: 4.550098
Valence: 1.557794 | Arousal: 1.617658
Valence: 1.557788 | Arousal: 1.617653
Valence: 1.557797 | Arousal: 1.617661
Valence: 1.554242 | Arousal: 1.614649
Valence: 1.557802 | Arousal: 1.617667
Valence: 1.557787 | Arousal: 1.617652
Valence: 1.557374 | Arousal: 1.617295
Valence: 1.558079 | Arousal: 1.617985
Valence: 1.558085 | Arousal: 1.617992
Valence: 1.557786 | Arousal: 1.617692
Valence: 1.557801 | Arousal: 1.617674
Valence: 1.557845 | Arousal: 1.617739
Valence: 1.557858 | Arousal: 1.617754
Valence: 1.557956 | Arousal: 1.61784
Valence: 1.558183 | Arousal: 1.61812
Valence: 1.557785 | Arousal: 1.61765
Valence: 1.557716 | Arousal: 1.61759
Valence: 1.558009 | Arousal: 1.617894
Valence: 1.55783 | Arousal: 1.6177
Valence: 1.557776 | Arousal: 1.617644
Valence: 1.557994 | Arousal: 1.617872
Valence: 1.586203 | Arousal: 1.646704
Valence: 1.557274 | Arousal: 1.617236
Valence: 1.958039 | Arousal: 2.009971
Valence: 1.626827 | Arousal: 1.686701
Valence: 1.555744 | Arousal: 1.615888
Valence: 1.53707 | Arousal: 1.597803
Valence: 1.913852 | Arousal: 1.963295
Valence: 1.557749 | Arousal: 1.617613
Valence: 1.557786 | Arousal: 1.61765
Valence: 2.334969 | Arousal: 2.402968
Valence: 1.557801 | Arousal: 1.617667
Valence: 2.200714 | Arousal: 2.270154
Valence: 1.557937 | Arousal: 1.617816
Valence: 1.557791 | Arousal: 1.617656
Valence: 1.557799 | Arousal: 1.617663
Valence: 1.557788 | Arousal: 1.617653
Valence: 1.557783 | Arousal: 1.617648
Valence: 1.557786 | Arousal: 1.61765
Valence: 1.557783 | Arousal: 1.617648
Valence: 1.557795 | Arousal: 1.61766
Valence: 1.557792 | Arousal: 1.617656
Valence: 1.192093E-07 | Arousal: 5.245209E-06
Valence: 3.695488E-06 | Arousal: 8.583069E-06
Valence: 8.869171E-05 | Arousal: 9.632111E-05
Valence: 9.179115E-06 | Arousal: 1.370907E-05
Valence: 6.425381E-05 | Arousal: 7.236004E-05
Valence: 0.0001753569 | Arousal: 0.000213623
